epoch=1, lr=1.000000e-03, train_total=0.4095810, train_mask=0.6932392, val_total=0.2851248, val_nmse=0.2851248, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=2, lr=1.000000e-03, train_total=0.2570942, train_mask=0.6931472, val_total=0.2723014, val_nmse=0.2723014, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=3, lr=1.000000e-03, train_total=0.2366623, train_mask=0.6931472, val_total=0.2498226, val_nmse=0.2498226, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=4, lr=1.000000e-03, train_total=0.2273988, train_mask=0.6931472, val_total=0.2441168, val_nmse=0.2441168, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=5, lr=1.000000e-03, train_total=0.2233721, train_mask=0.6931472, val_total=0.2407031, val_nmse=0.2407031, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=6, lr=1.000000e-03, train_total=0.2193232, train_mask=0.6931472, val_total=0.2384743, val_nmse=0.2384743, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=7, lr=1.000000e-03, train_total=0.2150196, train_mask=0.6931472, val_total=0.2362485, val_nmse=0.2362485, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=8, lr=1.000000e-03, train_total=0.2125581, train_mask=0.6931472, val_total=0.2338352, val_nmse=0.2338352, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=9, lr=1.000000e-03, train_total=0.2101923, train_mask=0.6931472, val_total=0.2302817, val_nmse=0.2302817, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=10, lr=1.000000e-03, train_total=0.2103057, train_mask=0.6931472, val_total=0.2482825, val_nmse=0.2482825, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=11, lr=1.000000e-03, train_total=0.2096715, train_mask=0.6931472, val_total=0.2336858, val_nmse=0.2336858, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=12, lr=1.000000e-03, train_total=0.2064334, train_mask=0.6931472, val_total=0.2298424, val_nmse=0.2298424, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=13, lr=1.000000e-03, train_total=0.2058940, train_mask=0.6931472, val_total=0.2347353, val_nmse=0.2347353, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=14, lr=1.000000e-03, train_total=0.2040255, train_mask=0.6931472, val_total=0.2270662, val_nmse=0.2270662, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=15, lr=1.000000e-03, train_total=0.2032706, train_mask=0.6931472, val_total=0.2282611, val_nmse=0.2282611, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=16, lr=1.000000e-03, train_total=0.2025398, train_mask=0.6931472, val_total=0.2240663, val_nmse=0.2240663, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=17, lr=1.000000e-03, train_total=0.2011083, train_mask=0.6931472, val_total=0.2268776, val_nmse=0.2268776, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=18, lr=1.000000e-03, train_total=0.2010708, train_mask=0.6931472, val_total=0.2228375, val_nmse=0.2228375, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=19, lr=1.000000e-03, train_total=0.2005453, train_mask=0.6931472, val_total=0.2233150, val_nmse=0.2233150, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=20, lr=1.000000e-03, train_total=0.2012771, train_mask=0.6931472, val_total=0.2228249, val_nmse=0.2228249, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=21, lr=1.000000e-03, train_total=0.1994326, train_mask=0.6931472, val_total=0.2237676, val_nmse=0.2237676, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=22, lr=1.000000e-03, train_total=0.1986563, train_mask=0.6931472, val_total=0.2209583, val_nmse=0.2209583, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=23, lr=1.000000e-03, train_total=0.1989392, train_mask=0.6931472, val_total=0.2214888, val_nmse=0.2214888, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=24, lr=1.000000e-03, train_total=0.1980410, train_mask=0.6931472, val_total=0.2230085, val_nmse=0.2230085, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=25, lr=1.000000e-03, train_total=0.1972781, train_mask=0.6931472, val_total=0.2193430, val_nmse=0.2193430, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=26, lr=1.000000e-03, train_total=0.1962854, train_mask=0.6931472, val_total=0.2222119, val_nmse=0.2222119, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=27, lr=1.000000e-03, train_total=0.1961990, train_mask=0.6931472, val_total=0.2214077, val_nmse=0.2214077, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=28, lr=1.000000e-03, train_total=0.1959470, train_mask=0.6931472, val_total=0.2217494, val_nmse=0.2217494, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=29, lr=1.000000e-03, train_total=0.1958169, train_mask=0.6931472, val_total=0.2245423, val_nmse=0.2245423, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=30, lr=1.000000e-03, train_total=0.1966548, train_mask=0.6931472, val_total=0.2227899, val_nmse=0.2227899, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=31, lr=1.000000e-03, train_total=0.1984920, train_mask=0.6931472, val_total=0.2195216, val_nmse=0.2195216, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=32, lr=1.000000e-03, train_total=0.1949862, train_mask=0.6931472, val_total=0.2206561, val_nmse=0.2206561, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=33, lr=1.000000e-03, train_total=0.1940060, train_mask=0.6931472, val_total=0.2160458, val_nmse=0.2160458, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=34, lr=1.000000e-03, train_total=0.1939362, train_mask=0.6931472, val_total=0.2186248, val_nmse=0.2186248, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=35, lr=1.000000e-03, train_total=0.1944491, train_mask=0.6931472, val_total=0.2205492, val_nmse=0.2205492, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=36, lr=1.000000e-03, train_total=0.1939615, train_mask=0.6931472, val_total=0.2235225, val_nmse=0.2235225, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=37, lr=1.000000e-03, train_total=0.1952206, train_mask=0.6931472, val_total=0.2178184, val_nmse=0.2178184, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=38, lr=1.000000e-03, train_total=0.1931356, train_mask=0.6931472, val_total=0.2183553, val_nmse=0.2183553, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=39, lr=1.000000e-03, train_total=0.1923455, train_mask=0.6931472, val_total=0.2249759, val_nmse=0.2249759, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=40, lr=1.000000e-03, train_total=0.1951149, train_mask=0.6931472, val_total=0.2151917, val_nmse=0.2151917, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=41, lr=1.000000e-03, train_total=0.1929775, train_mask=0.6931472, val_total=0.2206702, val_nmse=0.2206702, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=42, lr=1.000000e-03, train_total=0.1930750, train_mask=0.6931472, val_total=0.2197307, val_nmse=0.2197307, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=43, lr=1.000000e-03, train_total=0.1922912, train_mask=0.6931472, val_total=0.2165068, val_nmse=0.2165068, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=44, lr=1.000000e-03, train_total=0.1914188, train_mask=0.6931472, val_total=0.2219750, val_nmse=0.2219750, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=45, lr=1.000000e-03, train_total=0.1915962, train_mask=0.6931472, val_total=0.2190290, val_nmse=0.2190290, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=46, lr=1.000000e-03, train_total=0.1921920, train_mask=0.6931472, val_total=0.2173689, val_nmse=0.2173689, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=47, lr=1.000000e-03, train_total=0.1923618, train_mask=0.6931472, val_total=0.2179858, val_nmse=0.2179858, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=48, lr=1.000000e-03, train_total=0.1904516, train_mask=0.6931472, val_total=0.2148979, val_nmse=0.2148979, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=49, lr=1.000000e-03, train_total=0.1904282, train_mask=0.6931472, val_total=0.2183023, val_nmse=0.2183023, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=50, lr=1.000000e-03, train_total=0.1902925, train_mask=0.6931472, val_total=0.2175691, val_nmse=0.2175691, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=51, lr=1.000000e-03, train_total=0.1917399, train_mask=0.6931472, val_total=0.2195075, val_nmse=0.2195075, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=52, lr=1.000000e-03, train_total=0.1918663, train_mask=0.6931472, val_total=0.2248247, val_nmse=0.2248247, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=53, lr=1.000000e-03, train_total=0.1914132, train_mask=0.6931472, val_total=0.2156880, val_nmse=0.2156880, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=54, lr=1.000000e-03, train_total=0.1898481, train_mask=0.6931472, val_total=0.2143613, val_nmse=0.2143613, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=55, lr=1.000000e-03, train_total=0.1900171, train_mask=0.6931472, val_total=0.2163867, val_nmse=0.2163867, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=56, lr=1.000000e-03, train_total=0.1898335, train_mask=0.6931472, val_total=0.2172644, val_nmse=0.2172644, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=57, lr=1.000000e-03, train_total=0.1893325, train_mask=0.6931472, val_total=0.2178080, val_nmse=0.2178080, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=58, lr=1.000000e-03, train_total=0.1898874, train_mask=0.6931472, val_total=0.2161946, val_nmse=0.2161946, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=59, lr=1.000000e-03, train_total=0.1888524, train_mask=0.6931472, val_total=0.2155496, val_nmse=0.2155496, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=60, lr=1.000000e-03, train_total=0.1895767, train_mask=0.6931472, val_total=0.2142546, val_nmse=0.2142546, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=61, lr=1.000000e-03, train_total=0.1890547, train_mask=0.6931472, val_total=0.2165505, val_nmse=0.2165505, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=62, lr=1.000000e-03, train_total=0.1883176, train_mask=0.6931472, val_total=0.2145835, val_nmse=0.2145835, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=63, lr=1.000000e-03, train_total=0.1890557, train_mask=0.6931472, val_total=0.2187090, val_nmse=0.2187090, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=64, lr=1.000000e-03, train_total=0.1898643, train_mask=0.6931472, val_total=0.2126846, val_nmse=0.2126846, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=65, lr=1.000000e-03, train_total=0.1890070, train_mask=0.6931472, val_total=0.2150804, val_nmse=0.2150804, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=66, lr=1.000000e-03, train_total=0.1887058, train_mask=0.6931472, val_total=0.2136403, val_nmse=0.2136403, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=67, lr=1.000000e-03, train_total=0.1887541, train_mask=0.6931472, val_total=0.2162872, val_nmse=0.2162872, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=68, lr=1.000000e-03, train_total=0.1889294, train_mask=0.6931472, val_total=0.2171285, val_nmse=0.2171285, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=69, lr=1.000000e-03, train_total=0.1910676, train_mask=0.6931472, val_total=0.2166902, val_nmse=0.2166902, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=70, lr=1.000000e-03, train_total=0.1877598, train_mask=0.6931472, val_total=0.2145564, val_nmse=0.2145564, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=71, lr=1.000000e-03, train_total=0.1875370, train_mask=0.6931472, val_total=0.2188085, val_nmse=0.2188085, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=72, lr=1.000000e-03, train_total=0.1877789, train_mask=0.6931472, val_total=0.2153379, val_nmse=0.2153379, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=73, lr=1.000000e-03, train_total=0.1879048, train_mask=0.6931472, val_total=0.2200012, val_nmse=0.2200012, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=74, lr=1.000000e-03, train_total=0.1880560, train_mask=0.6931472, val_total=0.2124334, val_nmse=0.2124334, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=75, lr=1.000000e-03, train_total=0.1874792, train_mask=0.6931472, val_total=0.2153667, val_nmse=0.2153667, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=76, lr=1.000000e-03, train_total=0.1880552, train_mask=0.6931472, val_total=0.2127616, val_nmse=0.2127616, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=77, lr=1.000000e-03, train_total=0.1874498, train_mask=0.6931472, val_total=0.2159810, val_nmse=0.2159810, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=78, lr=1.000000e-03, train_total=0.1874801, train_mask=0.6931472, val_total=0.2116399, val_nmse=0.2116399, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
epoch=79, lr=1.000000e-03, train_total=0.1889058, train_mask=0.6931472, val_total=0.2172035, val_nmse=0.2172035, val_mask=0.6931472, val_clean=nan, gate=0.000000, lambda_mask=0.000000
